matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.011856,1897098.375000,0.000144,0.010016,0.130976
"/data/egentili/af_1_k101.mtx",1.244718,28200248.000000,0.001551,1.073792,1.258336
"/data/egentili/af23560.mtx",0.053347,17268042.000000,0.000001,0.051296,0.055296
"/data/egentili/amazon0302.mtx",0.483487,5108216.000000,0.000000,0.482112,0.484672
"/data/egentili/bcsstk17.mtx",0.030305,28288796.000000,0.000001,0.029216,0.036064
"/data/egentili/cage4.mtx",0.004609,21261.451172,0.000001,0.003744,0.011360
"/data/egentili/cant.mtx",0.183947,43571168.000000,0.000001,0.182368,0.185696
"/data/egentili/cavity10.mtx",0.010275,14826185.000000,0.000001,0.009056,0.018016
"/data/egentili/cop20k_A.mtx",0.276016,19015762.000000,0.000001,0.274432,0.278144
"/data/egentili/Cube_Coup_dt0.mtx",5.482097,45386312.000000,0.097812,5.234784,5.934144
"/data/egentili/dc1.mtx",0.230442,6651541.000000,0.000001,0.228128,0.233440
"/data/egentili/FEM_3D_thermal1.mtx",0.043158,19960890.000000,0.000001,0.041344,0.046560
"/data/egentili/lung2.mtx",0.209603,4699981.000000,0.000001,0.204160,0.210784
"/data/egentili/mac_econ_fwd500.mtx",0.458011,5560511.500000,0.000000,0.456704,0.461056
"/data/egentili/mcfe.mtx",0.007013,6953572.500000,0.000001,0.006144,0.014336
"/data/egentili/mhd4800a.mtx",0.015910,12853737.000000,0.000001,0.014880,0.022048
"/data/egentili/mhda416.mtx",0.006545,2616238.000000,0.000000,0.006080,0.010560
"/data/egentili/ML_Laplace.mtx",1.135772,48570828.000000,0.000014,1.128448,1.149792
"/data/egentili/nlpkkt80.mtx",2.370001,23791276.000000,0.007335,2.056576,2.398176
"/data/egentili/olafu.mtx",0.048450,41905100.000000,0.000001,0.047104,0.057408
"/data/egentili/olm1000.mtx",0.005940,1345491.000000,0.000001,0.004672,0.014464
"/data/egentili/PR02R.mtx",0.421856,38805380.000000,0.000000,0.420416,0.426048
"/data/egentili/raefsky2.mtx",0.015530,37804576.000000,0.000002,0.014336,0.026624
"/data/egentili/rdist2.mtx",0.012649,8986583.000000,0.000001,0.012000,0.021088
"/data/egentili/roadNet-PA.mtx",2.300573,2680893.500000,0.018726,2.026144,2.376480
"/data/egentili/thermal1.mtx",0.158368,7254724.500000,0.000000,0.156672,0.159552
"/data/egentili/thermal2.mtx",2.525286,6795518.000000,0.034934,2.283520,2.677888
"/data/egentili/thermomech_TK.mtx",0.193120,7369064.500000,0.000000,0.191648,0.196192
"/data/egentili/webbase-1M.mtx",2.152377,2885679.750000,0.015554,1.896544,2.219520
"/data/egentili/west2021.mtx",0.008289,1763723.875000,0.000001,0.007008,0.015136
