matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.011856,1897098.375000,0.000209,0.009216,0.155552
"/data/egentili/af_1_k101.mtx",1.251824,28040172.000000,0.000078,1.243936,1.337696
"/data/egentili/af23560.mtx",0.053399,17251174.000000,0.000001,0.051296,0.055456
"/data/egentili/amazon0302.mtx",0.483235,5110879.000000,0.000001,0.481952,0.488224
"/data/egentili/bcsstk17.mtx",0.030635,27984146.000000,0.000001,0.028736,0.038976
"/data/egentili/cage4.mtx",0.004395,22298.669922,0.000000,0.003872,0.010176
"/data/egentili/cant.mtx",0.183458,43687224.000000,0.000001,0.182272,0.188096
"/data/egentili/cavity10.mtx",0.010077,15117131.000000,0.000001,0.008832,0.020320
"/data/egentili/cop20k_A.mtx",0.275870,19025828.000000,0.000034,0.272704,0.333120
"/data/egentili/Cube_Coup_dt0.mtx",5.325116,46724268.000000,0.048245,5.224448,6.040864
"/data/egentili/dc1.mtx",0.230048,6662931.000000,0.000001,0.227680,0.231424
"/data/egentili/FEM_3D_thermal1.mtx",0.044341,19428738.000000,0.000091,0.040960,0.138816
"/data/egentili/lung2.mtx",0.209120,4710832.500000,0.000000,0.204416,0.210528
"/data/egentili/mac_econ_fwd500.mtx",0.458415,5555615.000000,0.000084,0.453280,0.548640
"/data/egentili/mcfe.mtx",0.006753,7220788.500000,0.000001,0.006016,0.014592
"/data/egentili/mhd4800a.mtx",0.015886,12873157.000000,0.000001,0.014496,0.023008
"/data/egentili/mhda416.mtx",0.006550,2614192.000000,0.000000,0.005920,0.010720
"/data/egentili/ML_Laplace.mtx",1.124844,49042700.000000,0.000767,1.025920,1.218496
"/data/egentili/nlpkkt80.mtx",2.276526,24768148.000000,0.025863,2.056448,2.461440
"/data/egentili/olafu.mtx",0.048331,42008320.000000,0.000001,0.047104,0.057952
"/data/egentili/olm1000.mtx",0.005669,1409663.500000,0.000001,0.004288,0.011616
"/data/egentili/PR02R.mtx",0.422732,38724940.000000,0.000070,0.420480,0.505824
"/data/egentili/raefsky2.mtx",0.015332,38291388.000000,0.000002,0.014336,0.028352
"/data/egentili/rdist2.mtx",0.012472,9113623.000000,0.000001,0.011232,0.024224
"/data/egentili/roadNet-PA.mtx",2.357565,2616085.250000,0.003272,2.025344,2.377920
"/data/egentili/thermal1.mtx",0.157914,7275601.000000,0.000000,0.156416,0.159104
"/data/egentili/thermal2.mtx",2.552276,6723656.500000,0.032239,2.282432,2.769728
"/data/egentili/thermomech_TK.mtx",0.192920,7376727.500000,0.000000,0.191776,0.196672
"/data/egentili/webbase-1M.mtx",2.175166,2855446.750000,0.010699,1.897088,2.216800
"/data/egentili/west2021.mtx",0.008242,1773790.000000,0.000001,0.006944,0.017856
