matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.012501,1799245.125000,0.000235,0.010176,0.163744
"/data/egentili/af_1_k101.mtx",1.243177,28235200.000000,0.000002,1.239680,1.248160
"/data/egentili/af23560.mtx",0.046443,19835028.000000,0.000002,0.045056,0.057824
"/data/egentili/amazon0302.mtx",0.429554,5749571.000000,0.000001,0.427840,0.433120
"/data/egentili/bcsstk17.mtx",0.031776,26979476.000000,0.000004,0.030720,0.049600
"/data/egentili/cage4.mtx",0.004774,20526.136719,0.000004,0.003776,0.022496
"/data/egentili/cant.mtx",0.205816,38941428.000000,0.000001,0.204800,0.211072
"/data/egentili/cavity10.mtx",0.010814,14087791.000000,0.000004,0.010016,0.029792
"/data/egentili/cop20k_A.mtx",0.251765,20847458.000000,0.000001,0.249856,0.260128
"/data/egentili/Cube_Coup_dt0.mtx",5.978616,41617012.000000,0.029740,5.891168,6.490208
"/data/egentili/dc1.mtx",0.305670,5014530.500000,0.000004,0.301472,0.311200
"/data/egentili/FEM_3D_thermal1.mtx",0.038061,22634314.000000,0.000002,0.036864,0.050816
"/data/egentili/lung2.mtx",0.187882,5243327.000000,0.000000,0.186432,0.190496
"/data/egentili/mac_econ_fwd500.mtx",0.418291,6088532.500000,0.000001,0.415648,0.426784
"/data/egentili/mcfe.mtx",0.006388,7634264.000000,0.000002,0.005056,0.020768
"/data/egentili/mhd4800a.mtx",0.014818,13801129.000000,0.000001,0.014176,0.024640
"/data/egentili/mhda416.mtx",0.005482,3123905.250000,0.000001,0.004352,0.010560
"/data/egentili/ML_Laplace.mtx",1.241457,44436028.000000,0.001603,1.155712,1.271168
"/data/egentili/nlpkkt80.mtx",2.156420,26147660.000000,0.000083,2.146464,2.239392
"/data/egentili/olafu.mtx",0.054933,36959696.000000,0.000003,0.053600,0.072224
"/data/egentili/olm1000.mtx",0.006321,1264365.375000,0.000001,0.005792,0.012288
"/data/egentili/PR02R.mtx",0.499927,32745316.000000,0.000002,0.497888,0.508608
"/data/egentili/raefsky2.mtx",0.014157,41470452.000000,0.000004,0.012576,0.032832
"/data/egentili/rdist2.mtx",0.011927,9530534.000000,0.000002,0.010304,0.025376
"/data/egentili/roadNet-PA.mtx",2.046953,3013060.250000,0.000003,2.043840,2.050432
"/data/egentili/thermal1.mtx",0.141450,8122424.500000,0.000001,0.139936,0.146048
"/data/egentili/thermal2.mtx",2.299888,7461505.500000,0.007285,2.039808,2.445856
"/data/egentili/thermomech_TK.mtx",0.172253,8261771.500000,0.000001,0.170272,0.176832
"/data/egentili/webbase-1M.mtx",1.985869,3127634.750000,0.006959,1.769472,2.108160
"/data/egentili/west2021.mtx",0.007844,1863959.125000,0.000001,0.006656,0.018560
