matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.012046,1867212.750000,0.000215,0.009216,0.157696
"/data/egentili/af_1_k101.mtx",1.258037,27901694.000000,0.000098,1.251680,1.354400
"/data/egentili/af23560.mtx",0.051945,17734190.000000,0.000003,0.051136,0.068256
"/data/egentili/amazon0302.mtx",0.507376,4867703.500000,0.000001,0.505920,0.513312
"/data/egentili/bcsstk17.mtx",0.032951,26017386.000000,0.000004,0.031424,0.050624
"/data/egentili/cage4.mtx",0.004898,20007.187500,0.000001,0.004096,0.013600
"/data/egentili/cant.mtx",0.198342,40408876.000000,0.000103,0.196576,0.299040
"/data/egentili/cavity10.mtx",0.009540,15969566.000000,0.000002,0.008192,0.019936
"/data/egentili/cop20k_A.mtx",0.243621,21544390.000000,0.000000,0.241952,0.247008
"/data/egentili/Cube_Coup_dt0.mtx",5.692294,43710348.000000,0.041748,5.585888,6.270304
"/data/egentili/dc1.mtx",0.263647,5813801.500000,0.000004,0.259168,0.268288
"/data/egentili/FEM_3D_thermal1.mtx",0.037620,22899228.000000,0.000004,0.036704,0.056192
"/data/egentili/lung2.mtx",0.190021,5184317.500000,0.000001,0.185888,0.192128
"/data/egentili/mac_econ_fwd500.mtx",0.357275,7128343.000000,0.000065,0.354432,0.437504
"/data/egentili/mcfe.mtx",0.005639,8648060.000000,0.000003,0.004160,0.019392
"/data/egentili/mhd4800a.mtx",0.013557,15084979.000000,0.000001,0.012416,0.023648
"/data/egentili/mhda416.mtx",0.005297,3232797.500000,0.000002,0.004096,0.016928
"/data/egentili/ML_Laplace.mtx",1.278982,43132280.000000,0.000086,1.273792,1.368992
"/data/egentili/nlpkkt80.mtx",2.118490,26615822.000000,0.000080,2.111488,2.201728
"/data/egentili/olafu.mtx",0.050547,40166920.000000,0.000004,0.049152,0.070304
"/data/egentili/olm1000.mtx",0.006169,1295451.625000,0.000001,0.005024,0.012928
"/data/egentili/PR02R.mtx",0.454278,36035780.000000,0.000001,0.452640,0.460800
"/data/egentili/raefsky2.mtx",0.013601,43165204.000000,0.000006,0.012288,0.037088
"/data/egentili/rdist2.mtx",0.010541,10783294.000000,0.000002,0.009024,0.024576
"/data/egentili/roadNet-PA.mtx",2.018354,3055753.500000,0.004537,1.953856,2.101184
"/data/egentili/thermal1.mtx",0.146829,7824833.000000,0.000001,0.138944,0.148224
"/data/egentili/thermal2.mtx",2.255058,7609839.500000,0.017437,2.111424,2.381664
"/data/egentili/thermomech_TK.mtx",0.182558,7795416.000000,0.000001,0.178016,0.184032
"/data/egentili/webbase-1M.mtx",1.919774,3235313.750000,0.003577,1.716992,2.025152
"/data/egentili/west2021.mtx",0.007833,1866395.750000,0.000001,0.006688,0.018016
