matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.020795,1081595.750000,0.000213,0.018336,0.165888
"/data/egentili/af_1_k101.mtx",1.293595,27134736.000000,0.000743,1.136192,1.312128
"/data/egentili/af23560.mtx",0.055279,16664376.000000,0.000002,0.053184,0.060704
"/data/egentili/amazon0302.mtx",0.495802,4981328.000000,0.000001,0.493696,0.502208
"/data/egentili/bcsstk17.mtx",0.033500,25591166.000000,0.000002,0.032512,0.046784
"/data/egentili/cage4.mtx",0.004625,21189.373047,0.000000,0.003936,0.008416
"/data/egentili/cant.mtx",0.197411,40599476.000000,0.000001,0.194976,0.202688
"/data/egentili/cavity10.mtx",0.011384,13381742.000000,0.000003,0.010240,0.028416
"/data/egentili/cop20k_A.mtx",0.288093,18218628.000000,0.000002,0.284896,0.293888
"/data/egentili/Cube_Coup_dt0.mtx",5.468396,45500020.000000,0.054012,5.364928,6.238112
"/data/egentili/dc1.mtx",0.994849,1540727.875000,0.000001,0.993280,1.001728
"/data/egentili/FEM_3D_thermal1.mtx",0.043497,19805668.000000,0.000001,0.041536,0.052256
"/data/egentili/lung2.mtx",0.214186,4599413.500000,0.000000,0.212992,0.215680
"/data/egentili/mac_econ_fwd500.mtx",0.475208,5359290.500000,0.000000,0.473504,0.477440
"/data/egentili/mcfe.mtx",0.007585,6428768.000000,0.000001,0.006400,0.018432
"/data/egentili/mhd4800a.mtx",0.018133,11277724.000000,0.000001,0.016576,0.025376
"/data/egentili/mhda416.mtx",0.007159,2391833.750000,0.000001,0.006144,0.012256
"/data/egentili/ML_Laplace.mtx",1.228855,44891704.000000,0.000341,1.178144,1.256032
"/data/egentili/nlpkkt80.mtx",2.484058,22698882.000000,0.013003,2.194816,2.869024
"/data/egentili/olafu.mtx",0.053160,38192476.000000,0.000003,0.051296,0.069984
"/data/egentili/olm1000.mtx",0.005931,1347596.750000,0.000001,0.004544,0.011456
"/data/egentili/PR02R.mtx",0.476374,34364344.000000,0.000001,0.473888,0.480000
"/data/egentili/raefsky2.mtx",0.016823,34899352.000000,0.000003,0.016128,0.033728
"/data/egentili/rdist2.mtx",0.014135,8041760.000000,0.000002,0.012896,0.025760
"/data/egentili/roadNet-PA.mtx",2.322714,2655338.750000,0.026278,2.060608,2.526752
"/data/egentili/thermal1.mtx",0.161371,7119723.500000,0.000000,0.160064,0.164960
"/data/egentili/thermal2.mtx",2.540756,6754143.000000,0.040630,2.322080,2.741472
"/data/egentili/thermomech_TK.mtx",0.198179,7180978.500000,0.000001,0.196608,0.206112
"/data/egentili/webbase-1M.mtx",2.150433,2888289.500000,0.017011,2.040352,2.407616
"/data/egentili/west2021.mtx",0.009036,1618000.750000,0.000001,0.008192,0.018368
