matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.021361,1052949.000000,0.000183,0.018432,0.155776
"/data/egentili/af_1_k101.mtx",1.882609,18645058.000000,0.000100,1.877984,1.980640
"/data/egentili/af23560.mtx",0.048891,18841884.000000,0.000001,0.047648,0.056608
"/data/egentili/amazon0302.mtx",0.352918,6998100.000000,0.000000,0.352064,0.354112
"/data/egentili/bcsstk17.mtx",0.039789,21546090.000000,0.000004,0.038912,0.057664
"/data/egentili/cage4.mtx",0.004494,21806.470703,0.000001,0.003264,0.011616
"/data/egentili/cant.mtx",0.367350,21817808.000000,0.000090,0.364704,0.461408
"/data/egentili/cavity10.mtx",0.011193,13610907.000000,0.000001,0.010240,0.020352
"/data/egentili/cop20k_A.mtx",0.305849,17160960.000000,0.000002,0.303200,0.313888
"/data/egentili/Cube_Coup_dt0.mtx",9.554303,26041894.000000,0.429302,9.236288,11.111040
"/data/egentili/dc1.mtx",1.593806,961718.250000,0.000004,1.589664,1.598528
"/data/egentili/FEM_3D_thermal1.mtx",0.041665,20676368.000000,0.000002,0.040736,0.053824
"/data/egentili/lung2.mtx",0.152268,6469718.500000,0.000001,0.147872,0.153600
"/data/egentili/mac_econ_fwd500.mtx",0.285878,8908615.000000,0.000000,0.284704,0.289344
"/data/egentili/mcfe.mtx",0.006242,7812743.000000,0.000001,0.004640,0.014464
"/data/egentili/mhd4800a.mtx",0.011678,17511790.000000,0.000001,0.010592,0.019200
"/data/egentili/mhda416.mtx",0.004864,3520558.750000,0.000001,0.004096,0.010240
"/data/egentili/ML_Laplace.mtx",2.454151,22478406.000000,0.023931,2.121856,2.596384
"/data/egentili/nlpkkt80.mtx",2.841442,19843916.000000,0.027582,2.485472,2.995104
"/data/egentili/olafu.mtx",0.082310,24666624.000000,0.000003,0.080576,0.097152
"/data/egentili/olm1000.mtx",0.005085,1571743.250000,0.000002,0.004096,0.012384
"/data/egentili/PR02R.mtx",0.764020,21426500.000000,0.000080,0.761632,0.852736
"/data/egentili/raefsky2.mtx",0.031410,18691804.000000,0.000003,0.029600,0.047104
"/data/egentili/rdist2.mtx",0.009693,11726668.000000,0.000001,0.008288,0.020256
"/data/egentili/roadNet-PA.mtx",1.635537,3770988.250000,0.000001,1.634048,1.640096
"/data/egentili/thermal1.mtx",0.117159,9806489.000000,0.000000,0.116672,0.118464
"/data/egentili/thermal2.mtx",1.910311,8983161.000000,0.000111,1.904640,2.013888
"/data/egentili/thermomech_TK.mtx",0.142087,10015828.000000,0.000000,0.141280,0.145600
"/data/egentili/webbase-1M.mtx",1.551643,4002899.500000,0.001816,1.395424,1.570528
"/data/egentili/west2021.mtx",0.006065,2410569.500000,0.000002,0.004672,0.015584
