matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.012572,1789013.625000,0.000048,0.011008,0.231744
"/data/egentili/af_1_k101.mtx",1.111371,31583838.000000,0.004565,1.077312,1.346784
"/data/egentili/af23560.mtx",0.053426,17242594.000000,0.000001,0.051200,0.056448
"/data/egentili/amazon0302.mtx",0.487522,5065936.000000,0.000000,0.486208,0.504832
"/data/egentili/bcsstk17.mtx",0.030650,27970708.000000,0.000000,0.028928,0.038304
"/data/egentili/cage4.mtx",0.004163,23542.263672,0.000000,0.002752,0.014656
"/data/egentili/cant.mtx",0.162265,49392940.000000,0.000006,0.160288,0.239104
"/data/egentili/cavity10.mtx",0.008713,17483658.000000,0.000000,0.008160,0.016384
"/data/egentili/cop20k_A.mtx",0.238161,22038332.000000,0.000001,0.235520,0.255264
"/data/egentili/Cube_Coup_dt0.mtx",5.287217,47059192.000000,0.006066,5.252832,6.046400
"/data/egentili/dc1.mtx",0.510625,3001795.500000,0.000001,0.504736,0.521568
"/data/egentili/FEM_3D_thermal1.mtx",0.043395,19852014.000000,0.000001,0.040224,0.054976
"/data/egentili/lung2.mtx",0.211926,4648453.000000,0.000000,0.210432,0.216448
"/data/egentili/mac_econ_fwd500.mtx",0.391774,6500622.500000,0.000001,0.390528,0.409184
"/data/egentili/mcfe.mtx",0.005882,8290930.000000,0.000001,0.004512,0.017504
"/data/egentili/mhd4800a.mtx",0.013395,15266951.000000,0.000001,0.012288,0.029888
"/data/egentili/mhda416.mtx",0.005684,3012819.250000,0.000000,0.004256,0.016928
"/data/egentili/ML_Laplace.mtx",1.058129,52134856.000000,0.001852,1.009728,1.207904
"/data/egentili/nlpkkt80.mtx",2.093718,26930722.000000,0.007814,2.064768,2.492512
"/data/egentili/olafu.mtx",0.048434,41918740.000000,0.000000,0.047104,0.057152
"/data/egentili/olm1000.mtx",0.005494,1454581.250000,0.000000,0.004096,0.011840
"/data/egentili/PR02R.mtx",0.402752,40646060.000000,0.000722,0.367232,0.519616
"/data/egentili/raefsky2.mtx",0.013117,44758836.000000,0.000000,0.012288,0.024576
"/data/egentili/rdist2.mtx",0.010740,10583585.000000,0.000001,0.009216,0.027744
"/data/egentili/roadNet-PA.mtx",2.041300,3021404.000000,0.000000,2.039808,2.048256
"/data/egentili/thermal1.mtx",0.159282,7213104.000000,0.000000,0.157952,0.161472
"/data/egentili/thermal2.mtx",2.338209,7339217.500000,0.013470,2.297856,2.790272
"/data/egentili/thermomech_TK.mtx",0.194132,7330668.000000,0.000000,0.192768,0.196224
"/data/egentili/webbase-1M.mtx",1.913318,3246231.750000,0.000006,1.911616,1.987616
"/data/egentili/west2021.mtx",0.008020,1823047.750000,0.000000,0.006720,0.020224
