matrix,time,flops,std_dev,min,max
"/data/fdonnini/adder_dcop_32.mtx",0.123504,182115.562500,0.002542,0.073088,0.173920
"/data/fdonnini/af_1_k101.mtx",3.992800,8791162.000000,0.000009,3.989760,3.995840
"/data/fdonnini/af23560.mtx",0.043728,21066502.000000,0.000006,0.041376,0.046080
"/data/fdonnini/amazon0302.mtx",0.088000,28065386.000000,0.000004,0.086016,0.089984
"/data/fdonnini/bcsstk17.mtx",0.088768,9657759.000000,0.000012,0.085344,0.092192
"/data/fdonnini/cage4.mtx",0.008032,12201.195312,0.000005,0.005824,0.010240
"/data/fdonnini/cant.mtx",0.977808,8196666.500000,0.000013,0.974272,0.981344
"/data/fdonnini/cavity10.mtx",0.046160,3300303.250000,0.000009,0.043168,0.049152
"/data/fdonnini/cop20k_A.mtx",0.470480,11155973.000000,0.000005,0.468160,0.472800
"/data/fdonnini/Cube_Coup_dt0.mtx",29.625889,8398470.000000,0.001782,29.583679,29.668097
"/data/fdonnini/dc1.mtx",6.313120,242794.687500,0.000028,6.307840,6.318400
"/data/fdonnini/FEM_3D_thermal1.mtx",0.048960,17595588.000000,0.000003,0.047232,0.050688
"/data/fdonnini/lung2.mtx",0.036576,26933724.000000,0.000003,0.034912,0.038240
"/data/fdonnini/mac_econ_fwd500.mtx",0.098880,25756250.000000,0.000001,0.097760,0.100000
"/data/fdonnini/mcfe.mtx",0.032064,1520833.375000,0.000014,0.028288,0.035840
"/data/fdonnini/mhd4800a.mtx",0.037664,5429694.000000,0.000002,0.036416,0.038912
"/data/fdonnini/mhda416.mtx",0.017120,1000233.625000,0.000009,0.014176,0.020064
"/data/fdonnini/ML_Laplace.mtx",8.526080,6470194.500000,0.000672,8.500160,8.552000
"/data/fdonnini/nlpkkt80.mtx",4.199184,13427691.000000,0.000070,4.190816,4.207552
"/data/fdonnini/olafu.mtx",0.152784,13288773.000000,0.000011,0.149504,0.156064
"/data/fdonnini/olm1000.mtx",0.009776,817512.250000,0.000007,0.007136,0.012416
"/data/fdonnini/PR02R.mtx",1.787168,9159895.000000,0.000049,1.780192,1.794144
"/data/fdonnini/raefsky2.mtx",0.127552,4602844.000000,0.000031,0.122016,0.133088
"/data/fdonnini/rdist2.mtx",0.036656,3100938.500000,0.000018,0.032384,0.040928
"/data/fdonnini/roadNet-PA.mtx",0.194576,31697600.000000,0.000001,0.193600,0.195552
"/data/fdonnini/thermal1.mtx",0.044576,25774318.000000,0.000004,0.042592,0.046560
"/data/fdonnini/thermal2.mtx",0.627824,27333498.000000,0.000002,0.626400,0.629248
"/data/fdonnini/thermomech_TK.mtx",0.067680,21027128.000000,0.000006,0.065248,0.070112
"/data/fdonnini/webbase-1M.mtx",0.409536,15166120.000000,0.000000,0.409472,0.409600
"/data/fdonnini/west2021.mtx",0.013680,1068713.500000,0.000012,0.010240,0.017120
