matrix,time,flops
"/data/fdonnini/adder_dcop_32.mtx",0.082701,271968.343750
"/data/fdonnini/af_1_k101.mtx",4.010176,8753070.000000
"/data/fdonnini/af23560.mtx",0.042298,21778918.000000
"/data/fdonnini/amazon0302.mtx",0.085376,28927968.000000
"/data/fdonnini/bcsstk17.mtx",0.085920,9977887.000000
"/data/fdonnini/cage4.mtx",0.005440,18014.705078
"/data/fdonnini/cant.mtx",0.964182,8312501.000000
"/data/fdonnini/cavity10.mtx",0.043379,3511867.500000
"/data/fdonnini/cop20k_A.mtx",0.468886,11193889.000000
"/data/fdonnini/Cube_Coup_dt0.mtx",29.855061,8334002.500000
"/data/fdonnini/dc1.mtx",6.307296,243018.890625
"/data/fdonnini/FEM_3D_thermal1.mtx",0.046950,18348724.000000
"/data/fdonnini/lung2.mtx",0.034013,28963448.000000
"/data/fdonnini/mac_econ_fwd500.mtx",0.106630,23884164.000000
"/data/fdonnini/mcfe.mtx",0.033187,1469361.750000
"/data/fdonnini/mhd4800a.mtx",0.032893,6217287.500000
"/data/fdonnini/mhda416.mtx",0.014970,1143918.375000
"/data/fdonnini/ML_Laplace.mtx",8.516752,6477281.000000
"/data/fdonnini/nlpkkt80.mtx",4.204285,13411400.000000
"/data/fdonnini/olafu.mtx",0.149568,13574507.000000
"/data/fdonnini/olm1000.mtx",0.007786,1026510.375000
"/data/fdonnini/PR02R.mtx",1.771015,9243443.000000
"/data/fdonnini/raefsky2.mtx",0.123456,4755556.500000
"/data/fdonnini/rdist2.mtx",0.032518,3495498.250000
"/data/fdonnini/roadNet-PA.mtx",0.193619,31854236.000000
"/data/fdonnini/thermal1.mtx",0.045978,24988604.000000
"/data/fdonnini/thermal2.mtx",0.623635,27517092.000000
"/data/fdonnini/thermomech_TK.mtx",0.065494,21728818.000000
"/data/fdonnini/webbase-1M.mtx",0.410355,15135845.000000
"/data/fdonnini/west2021.mtx",0.011027,1325812.500000
