matrix,time,flops
"/data/fdonnini/adder_dcop_32.mtx",0.072423,310565.468750,0.000113
"/data/fdonnini/af_1_k101.mtx",3.998829,8777907.000000,0.000126
"/data/fdonnini/af23560.mtx",0.039262,23462742.000000,0.000003
"/data/fdonnini/amazon0302.mtx",0.080311,30752238.000000,0.000000
"/data/fdonnini/bcsstk17.mtx",0.076810,11161366.000000,0.000002
"/data/fdonnini/cage4.mtx",0.004440,22073.667969,0.000000
"/data/fdonnini/cant.mtx",0.965715,8299308.500000,0.000224
"/data/fdonnini/cavity10.mtx",0.042364,3595984.250000,0.000001
"/data/fdonnini/cop20k_A.mtx",0.469483,11179657.000000,0.000004
"/data/fdonnini/Cube_Coup_dt0.mtx",30.022757,8287451.500000,0.015602
"/data/fdonnini/dc1.mtx",6.308214,242983.531250,0.000015
"/data/fdonnini/FEM_3D_thermal1.mtx",0.045566,18906300.000000,0.000002
"/data/fdonnini/lung2.mtx",0.033764,29177286.000000,0.000000
"/data/fdonnini/mac_econ_fwd500.mtx",0.094280,27012828.000000,0.000001
"/data/fdonnini/mcfe.mtx",0.027319,1785003.500000,0.000001
"/data/fdonnini/mhd4800a.mtx",0.027196,7519503.500000,0.000001
"/data/fdonnini/mhda416.mtx",0.012381,1383074.250000,0.000001
"/data/fdonnini/ML_Laplace.mtx",8.560637,6444075.500000,0.002901
"/data/fdonnini/nlpkkt80.mtx",4.219212,13363953.000000,0.000267
"/data/fdonnini/olafu.mtx",0.140237,14477675.000000,0.000002
"/data/fdonnini/olm1000.mtx",0.006247,1279260.750000,0.000001
"/data/fdonnini/PR02R.mtx",1.776753,9213589.000000,0.000307
"/data/fdonnini/raefsky2.mtx",0.101885,5762410.500000,0.000002
"/data/fdonnini/rdist2.mtx",0.026584,4275805.500000,0.000001
"/data/fdonnini/roadNet-PA.mtx",0.184801,33374238.000000,0.000002
"/data/fdonnini/thermal1.mtx",0.042458,27060320.000000,0.000000
"/data/fdonnini/thermal2.mtx",0.624030,27499702.000000,0.000009
"/data/fdonnini/thermomech_TK.mtx",0.065095,21862018.000000,0.000001
"/data/fdonnini/webbase-1M.mtx",0.410024,15148060.000000,0.000004
"/data/fdonnini/west2021.mtx",0.010092,1448649.250000,0.000001
