Matrix,time,flops,dev
"adder_dcop_32.mtx",1.376465,16340.408203,0.003764
"af_1_k101.mtx",5.766005,6087638.500000,0.002454
"af23560.mtx",1.071320,859870.187500,0.000004
"amazon0302.mtx",0.711423,3471567.500000,0.000005
"bcsstk17.mtx",0.926805,925005.812500,0.000008
"cage4.mtx",0.010033,9767.804688,0.000000
"cant.mtx",5.332545,1502990.750000,0.121253
"cavity10.mtx",0.231660,657611.625000,0.000003
"cop20k_A.mtx",2.507757,2092970.625000,0.000007
"Cube_Coup_dt0.mtx",80.214363,3101840.250000,0.056959
"dc1.mtx",191.016754,8024.385254,0.000060
"FEM_3D_thermal1.mtx",0.958208,899053.375000,0.000005
"lung2.mtx",0.454875,2165712.750000,0.000001
"mac_econ_fwd500.mtx",1.508622,1688148.375000,0.000065
"mcfe.mtx",0.157307,309992.250000,0.000002
"mhd4800a.mtx",0.298226,685734.375000,0.000001
"mhda416.mtx",0.086642,197641.734375,0.000001
"ML_Laplace.mtx",8.072531,6833717.500000,0.024877
"nlpkkt80.mtx",13.185094,4276446.000000,0.006422
"olafu.mtx",2.069017,981293.187500,0.000013
"olm1000.mtx",0.030521,261855.562500,0.000001
"PR02R.mtx",4.952929,3305169.500000,0.055492
"raefsky2.mtx",0.465560,1261066.875000,0.000004
"rdist2.mtx",0.288867,393495.656250,0.000002
"roadNet-PA.mtx",1.941695,3176396.000000,0.000097
"thermal1.mtx",0.540409,2126012.000000,0.000004
"thermal2.mtx",4.575149,3750834.750000,0.000355
"thermomech_TK.mtx",0.529276,2688800.000000,0.000003
"webbase-1M.mtx",12.731828,487838.218750,0.247300
"west2021.mtx",0.055744,262270.468750,0.000001
