matrix,time,flops
"/data/fdonnini/adder_dcop_32.mtx",1.406509,15991.369141
"/data/fdonnini/af_1_k101.mtx",5.836932,6013664.500000
"/data/fdonnini/af23560.mtx",1.237203,744579.375000
"/data/fdonnini/amazon0302.mtx",0.757309,3261224.500000
"/data/fdonnini/bcsstk17.mtx",1.090099,786442.187500
"/data/fdonnini/cage4.mtx",0.012198,8033.839844
"/data/fdonnini/cant.mtx",5.725616,1399808.375000
"/data/fdonnini/cavity10.mtx",0.277667,548649.625000
"/data/fdonnini/cop20k_A.mtx",2.845146,1844777.875000
"/data/fdonnini/Cube_Coup_dt0.mtx",79.508888,3129362.750000
"/data/fdonnini/dc1.mtx",190.977692,8026.026367
"/data/fdonnini/FEM_3D_thermal1.mtx",0.957859,899380.625000
"/data/fdonnini/lung2.mtx",0.454787,2166129.500000
"/data/fdonnini/mac_econ_fwd500.mtx",1.503840,1693516.375000
"/data/fdonnini/mcfe.mtx",0.158912,306861.625000
"/data/fdonnini/mhd4800a.mtx",0.299590,682612.000000
"/data/fdonnini/mhda416.mtx",0.087808,195016.406250
"/data/fdonnini/ML_Laplace.mtx",8.368797,6591795.000000
"/data/fdonnini/nlpkkt80.mtx",13.064119,4316046.500000
"/data/fdonnini/olafu.mtx",2.068384,981593.375000
"/data/fdonnini/olm1000.mtx",0.031315,255211.531250
"/data/fdonnini/PR02R.mtx",5.452541,3002320.000000
"/data/fdonnini/raefsky2.mtx",0.556339,1055295.000000
"/data/fdonnini/rdist2.mtx",0.344960,329510.656250
"/data/fdonnini/roadNet-PA.mtx",1.946915,3167879.000000
"/data/fdonnini/thermal1.mtx",0.620282,1852249.125000
"/data/fdonnini/thermal2.mtx",4.567152,3757402.250000
"/data/fdonnini/thermomech_TK.mtx",0.608134,2340134.000000
"/data/fdonnini/webbase-1M.mtx",13.891520,447112.500000
"/data/fdonnini/west2021.mtx",0.056650,258077.750000
