matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",1.206018,18649.798828,0.005332,1.176288,1.626560
"/data/egentili/af_1_k101.mtx",5.743045,6111975.500000,0.001349,5.716960,6.810336
"/data/egentili/af23560.mtx",1.082054,851339.812500,0.000004,1.067264,1.091008
"/data/egentili/amazon0302.mtx",0.716209,3448369.000000,0.000007,0.708704,0.725024
"/data/egentili/bcsstk17.mtx",0.939530,912477.562500,0.000005,0.931648,0.946400
"/data/egentili/cage4.mtx",0.009883,9916.236328,0.000000,0.008544,0.021120
"/data/egentili/cant.mtx",5.060674,1583734.875000,0.000048,5.047808,5.097760
"/data/egentili/cavity10.mtx",0.234449,649787.437500,0.000001,0.231424,0.244608
"/data/egentili/cop20k_A.mtx",2.531656,2073212.750000,0.000009,2.522240,2.541280
"/data/egentili/Cube_Coup_dt0.mtx",80.086784,3106781.500000,0.071253,76.666908,81.153885
"/data/egentili/dc1.mtx",194.871140,7865.669434,0.312879,194.421249,196.618118
"/data/egentili/FEM_3D_thermal1.mtx",0.976182,882499.062500,0.000004,0.962944,0.982944
"/data/egentili/lung2.mtx",0.463827,2123914.500000,0.000002,0.460800,0.468448
"/data/egentili/mac_econ_fwd500.mtx",1.527738,1667025.125000,0.000071,1.509344,1.584352
"/data/egentili/mcfe.mtx",0.161008,302867.687500,0.000000,0.159744,0.168032
"/data/egentili/mhd4800a.mtx",0.305260,669934.562500,0.000001,0.303104,0.323584
"/data/egentili/mhda416.mtx",0.088210,194126.984375,0.000000,0.086976,0.092160
"/data/egentili/ML_Laplace.mtx",8.036973,6863952.000000,0.001755,8.009408,8.409024
"/data/egentili/nlpkkt80.mtx",13.207619,4269153.000000,0.001346,12.950432,13.493696
"/data/egentili/olafu.mtx",2.103657,965134.500000,0.000012,2.087968,2.119040
"/data/egentili/olm1000.mtx",0.030935,258349.312500,0.000000,0.029568,0.042368
"/data/egentili/PR02R.mtx",4.924191,3324459.250000,0.013020,4.887040,5.482752
"/data/egentili/raefsky2.mtx",0.476257,1232740.875000,0.000003,0.471648,0.493120
"/data/egentili/rdist2.mtx",0.295259,384977.656250,0.000001,0.292864,0.302144
"/data/egentili/roadNet-PA.mtx",1.944995,3171007.000000,0.000123,1.900576,1.979552
"/data/egentili/thermal1.mtx",0.547928,2096837.625000,0.000003,0.541888,0.555008
"/data/egentili/thermal2.mtx",4.577699,3748744.750000,0.000294,4.522208,4.899680
"/data/egentili/thermomech_TK.mtx",0.538463,2642921.000000,0.000004,0.532480,0.544768
"/data/egentili/webbase-1M.mtx",12.793602,485482.656250,0.001235,12.767232,13.823776
"/data/egentili/west2021.mtx",0.056825,257280.500000,0.000000,0.055296,0.063488
