matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",1.392543,16151.743164,0.000164,1.382400,1.509664
"/data/egentili/af_1_k101.mtx",5.778683,6074282.500000,0.002479,5.717824,5.854848
"/data/egentili/af23560.mtx",1.069915,860999.375000,0.000007,1.054400,1.076448
"/data/egentili/amazon0302.mtx",0.711569,3470858.750000,0.000006,0.704448,0.718368
"/data/egentili/bcsstk17.mtx",0.926706,925105.062500,0.000006,0.919712,0.936576
"/data/egentili/cage4.mtx",0.009755,10046.582031,0.000001,0.008640,0.015488
"/data/egentili/cant.mtx",5.307905,1509968.000000,0.114660,5.020256,5.731584
"/data/egentili/cavity10.mtx",0.231570,657866.125000,0.000003,0.229088,0.244800
"/data/egentili/cop20k_A.mtx",2.505265,2095052.375000,0.000009,2.498368,2.512928
"/data/egentili/Cube_Coup_dt0.mtx",80.171608,3103494.500000,0.200847,76.997826,80.545570
"/data/egentili/dc1.mtx",191.023438,8024.104492,0.000059,191.006714,191.045563
"/data/egentili/FEM_3D_thermal1.mtx",0.958973,898336.125000,0.000004,0.954368,0.962560
"/data/egentili/lung2.mtx",0.454795,2166090.250000,0.000002,0.451456,0.458688
"/data/egentili/mac_econ_fwd500.mtx",1.508143,1688684.875000,0.000076,1.489888,1.546016
"/data/egentili/mcfe.mtx",0.157282,310041.375000,0.000004,0.155936,0.172992
"/data/egentili/mhd4800a.mtx",0.298296,685573.937500,0.000001,0.296960,0.303808
"/data/egentili/mhda416.mtx",0.086310,198400.171875,0.000000,0.085664,0.090208
"/data/egentili/ML_Laplace.mtx",8.040188,6861207.500000,0.013351,7.968576,8.383136
"/data/egentili/nlpkkt80.mtx",13.192863,4273928.000000,0.004790,12.937312,13.250944
"/data/egentili/olafu.mtx",2.068040,981756.687500,0.000013,2.059904,2.082656
"/data/egentili/olm1000.mtx",0.030444,262510.593750,0.000003,0.029184,0.047008
"/data/egentili/PR02R.mtx",5.137666,3186324.500000,0.094136,4.826304,5.455904
"/data/egentili/raefsky2.mtx",0.465520,1261174.625000,0.000004,0.462848,0.481280
"/data/egentili/rdist2.mtx",0.288713,393706.375000,0.000002,0.285408,0.297792
"/data/egentili/roadNet-PA.mtx",1.940964,3177591.500000,0.000100,1.915456,1.967104
"/data/egentili/thermal1.mtx",0.539783,2128476.500000,0.000004,0.535104,0.544768
"/data/egentili/thermal2.mtx",4.579329,3747411.000000,0.000349,4.538688,4.632832
"/data/egentili/thermomech_TK.mtx",0.528595,2692263.500000,0.000004,0.523264,0.534496
"/data/egentili/webbase-1M.mtx",12.857455,483071.625000,0.427964,12.550112,14.425408
"/data/egentili/west2021.mtx",0.055525,263302.812500,0.000001,0.054400,0.061952
