matrix,time,flops,std_dev,min,max
"/data/fdonnini/adder_dcop_32.mtx",1.393283,16143.169922,0.000150,1.382400,1.505856
"/data/fdonnini/af_1_k101.mtx",5.750187,6104384.000000,0.001490,5.716672,5.844416
"/data/fdonnini/af23560.mtx",1.069951,860970.625000,0.000007,1.053504,1.074944
"/data/fdonnini/amazon0302.mtx",0.711150,3472899.750000,0.000006,0.705536,0.716800
"/data/fdonnini/bcsstk17.mtx",0.926721,925089.375000,0.000004,0.920352,0.931648
"/data/fdonnini/cage4.mtx",0.010105,9697.902344,0.000000,0.008800,0.014176
"/data/fdonnini/cant.mtx",5.008101,1600360.250000,0.000152,4.990336,5.032928
"/data/fdonnini/cavity10.mtx",0.231559,657896.875000,0.000003,0.229152,0.242176
"/data/fdonnini/cop20k_A.mtx",2.506824,2093750.125000,0.000009,2.497472,2.515712
"/data/fdonnini/Cube_Coup_dt0.mtx",80.212357,3101918.000000,0.059991,78.269119,80.512802
"/data/fdonnini/dc1.mtx",191.033081,8023.699219,0.000049,191.014526,191.053055
"/data/fdonnini/FEM_3D_thermal1.mtx",0.958348,898922.000000,0.000006,0.946560,0.964288
"/data/fdonnini/lung2.mtx",0.454770,2166213.500000,0.000002,0.452544,0.459424
"/data/fdonnini/mac_econ_fwd500.mtx",1.507686,1689196.875000,0.000075,1.491424,1.538752
"/data/fdonnini/mcfe.mtx",0.157296,310013.625000,0.000001,0.155936,0.165760
"/data/fdonnini/mhd4800a.mtx",0.298550,684990.562500,0.000001,0.296896,0.304832
"/data/fdonnini/mhda416.mtx",0.086451,198077.015625,0.000000,0.085984,0.090112
"/data/fdonnini/ML_Laplace.mtx",8.075971,6830807.000000,0.027156,7.966048,8.385344
"/data/fdonnini/nlpkkt80.mtx",13.185473,4276323.000000,0.007341,12.933440,13.253248
"/data/fdonnini/olafu.mtx",2.069092,981257.437500,0.000014,2.061216,2.078880
"/data/fdonnini/olm1000.mtx",0.030570,261430.750000,0.000001,0.029184,0.035136
"/data/fdonnini/PR02R.mtx",4.951808,3305918.250000,0.056539,4.827904,5.464928
"/data/fdonnini/raefsky2.mtx",0.465696,1260697.875000,0.000003,0.462848,0.478336
"/data/fdonnini/rdist2.mtx",0.288912,393434.250000,0.000002,0.286496,0.296800
"/data/fdonnini/roadNet-PA.mtx",1.941448,3176799.750000,0.000125,1.906240,1.963040
"/data/fdonnini/thermal1.mtx",0.539814,2128354.250000,0.000003,0.535328,0.544768
"/data/fdonnini/thermal2.mtx",4.578800,3747843.250000,0.000406,4.537504,4.633408
"/data/fdonnini/thermomech_TK.mtx",0.529106,2689663.500000,0.000003,0.524896,0.532864
"/data/fdonnini/webbase-1M.mtx",12.703677,488919.218750,0.205579,12.556288,14.413536
"/data/fdonnini/west2021.mtx",0.055701,262472.406250,0.000001,0.054976,0.063200
