matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.020627,1090438.625000,0.000191,0.018240,0.157792
"/data/egentili/af_1_k101.mtx",1.298985,27022138.000000,0.000019,1.288224,1.308832
"/data/egentili/af23560.mtx",0.055989,16453218.000000,0.000002,0.053312,0.061312
"/data/egentili/amazon0302.mtx",0.495634,4983020.000000,0.000001,0.494048,0.503488
"/data/egentili/bcsstk17.mtx",0.033876,25306884.000000,0.000003,0.032736,0.049504
"/data/egentili/cage4.mtx",0.004753,20618.726562,0.000001,0.004064,0.010400
"/data/egentili/cant.mtx",0.197188,40645332.000000,0.000002,0.195328,0.205632
"/data/egentili/cavity10.mtx",0.011228,13567463.000000,0.000004,0.010240,0.029632
"/data/egentili/cop20k_A.mtx",0.288177,18213328.000000,0.000002,0.285568,0.293536
"/data/egentili/Cube_Coup_dt0.mtx",5.485001,45362280.000000,0.065147,5.357664,6.122208
"/data/egentili/dc1.mtx",0.995678,1539445.500000,0.000001,0.993952,0.998560
"/data/egentili/FEM_3D_thermal1.mtx",0.043776,19679278.000000,0.000002,0.041664,0.052672
"/data/egentili/lung2.mtx",0.214839,4585422.500000,0.000000,0.213120,0.216640
"/data/egentili/mac_econ_fwd500.mtx",0.405696,6277545.500000,0.000001,0.404224,0.410528
"/data/egentili/mcfe.mtx",0.006807,7163424.000000,0.000002,0.006048,0.018272
"/data/egentili/mhd4800a.mtx",0.015512,13183872.000000,0.000001,0.014400,0.023008
"/data/egentili/mhda416.mtx",0.006447,2656235.500000,0.000001,0.005792,0.012320
"/data/egentili/ML_Laplace.mtx",1.234050,44702728.000000,0.000566,1.173664,1.271840
"/data/egentili/nlpkkt80.mtx",2.305124,24460876.000000,0.025084,2.187264,2.542240
"/data/egentili/olafu.mtx",0.052600,38599332.000000,0.000002,0.051200,0.066816
"/data/egentili/olm1000.mtx",0.006123,1305268.500000,0.000000,0.004768,0.012064
"/data/egentili/PR02R.mtx",0.477085,34313096.000000,0.000001,0.474784,0.483808
"/data/egentili/raefsky2.mtx",0.016690,35177704.000000,0.000003,0.015200,0.033088
"/data/egentili/rdist2.mtx",0.014122,8049232.000000,0.000002,0.012800,0.024576
"/data/egentili/roadNet-PA.mtx",2.369151,2603292.250000,0.019206,2.061920,2.438112
"/data/egentili/thermal1.mtx",0.161456,7115958.500000,0.000000,0.160224,0.163232
"/data/egentili/thermal2.mtx",2.601355,6596804.000000,0.038435,2.327744,2.754016
"/data/egentili/thermomech_TK.mtx",0.198388,7173392.000000,0.000000,0.197184,0.199808
"/data/egentili/webbase-1M.mtx",2.308512,2690508.500000,0.006580,1.987520,2.332512
"/data/egentili/west2021.mtx",0.008791,1663056.750000,0.000005,0.007904,0.030336
