matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.008163,2755508.500000,0.000227,0.006016,0.158048
"/data/egentili/af_1_k101.mtx",0.006896,5090340352.000000,0.000001,0.006144,0.013184
"/data/egentili/af23560.mtx",0.006667,138181632.000000,0.000001,0.005952,0.016736
"/data/egentili/amazon0302.mtx",0.006864,359829568.000000,0.000001,0.006112,0.014688
"/data/egentili/bcsstk17.mtx",0.007739,110782888.000000,0.000005,0.006176,0.028352
"/data/egentili/cage4.mtx",0.005134,19089.318359,0.000000,0.004096,0.008704
"/data/egentili/cant.mtx",0.007137,1122943872.000000,0.000001,0.006144,0.012576
"/data/egentili/cavity10.mtx",0.007143,21328290.000000,0.000003,0.006144,0.022528
"/data/egentili/cop20k_A.mtx",0.007494,700404096.000000,0.000000,0.006432,0.010208
"/data/egentili/Cube_Coup_dt0.mtx",0.011668,21324617728.000000,0.000003,0.010272,0.024928
"/data/egentili/dc1.mtx",1.193554,1284225.250000,0.000001,1.192000,1.199616
"/data/egentili/FEM_3D_thermal1.mtx",0.006605,130419824.000000,0.000002,0.005920,0.020160
"/data/egentili/lung2.mtx",0.006345,155253728.000000,0.000000,0.005120,0.010528
"/data/egentili/mac_econ_fwd500.mtx",0.006410,397318304.000000,0.000000,0.005888,0.008064
"/data/egentili/mcfe.mtx",0.006349,7680049.500000,0.000001,0.005120,0.017024
"/data/egentili/mhd4800a.mtx",0.006420,31853420.000000,0.000000,0.005984,0.012288
"/data/egentili/mhda416.mtx",0.006362,2691505.750000,0.000000,0.005248,0.010240
"/data/egentili/ML_Laplace.mtx",0.007678,7184791040.000000,0.000001,0.006144,0.017152
"/data/egentili/nlpkkt80.mtx",0.006826,8260475904.000000,0.000000,0.006112,0.008832
"/data/egentili/olafu.mtx",0.007190,282376832.000000,0.000002,0.006144,0.020256
"/data/egentili/olm1000.mtx",0.006585,1213675.000000,0.000000,0.006144,0.012064
"/data/egentili/PR02R.mtx",0.007413,2208188416.000000,0.000001,0.006176,0.013376
"/data/egentili/raefsky2.mtx",0.007312,80289432.000000,0.000003,0.006144,0.023712
"/data/egentili/rdist2.mtx",0.006891,16495427.000000,0.000002,0.006144,0.017952
"/data/egentili/roadNet-PA.mtx",0.006712,918846528.000000,0.000001,0.006112,0.011424
"/data/egentili/thermal1.mtx",0.006704,171385904.000000,0.000001,0.006080,0.013184
"/data/egentili/thermal2.mtx",0.006816,2517697536.000000,0.000001,0.006144,0.015104
"/data/egentili/thermomech_TK.mtx",0.006579,216326432.000000,0.000000,0.006112,0.009312
"/data/egentili/webbase-1M.mtx",0.058334,106473576.000000,0.000001,0.057344,0.065856
"/data/egentili/west2021.mtx",0.006938,2107259.750000,0.000003,0.006144,0.020544
