matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.087358,257468.078125,0.000392,0.084128,0.284320
"/data/egentili/af_1_k101.mtx",3.603107,9741968.000000,0.000027,3.592448,3.616768
"/data/egentili/af23560.mtx",0.048387,19038010.000000,0.000001,0.047104,0.053248
"/data/egentili/amazon0302.mtx",0.106094,23278984.000000,0.000001,0.104064,0.110816
"/data/egentili/bcsstk17.mtx",0.100062,8567656.000000,0.000002,0.097312,0.110272
"/data/egentili/cage4.mtx",0.004616,21230.507812,0.000000,0.003776,0.009216
"/data/egentili/cant.mtx",1.083421,7397645.500000,0.000272,1.040128,1.118336
"/data/egentili/cavity10.mtx",0.063082,2414986.500000,0.000002,0.061440,0.077536
"/data/egentili/cop20k_A.mtx",0.581043,9033180.000000,0.000006,0.576160,0.589280
"/data/egentili/Cube_Coup_dt0.mtx",28.248318,8808034.000000,0.008650,28.024223,28.516224
"/data/egentili/dc1.mtx",8.538032,179525.218750,0.000007,8.532480,8.547712
"/data/egentili/FEM_3D_thermal1.mtx",0.059974,14364283.000000,0.000001,0.057856,0.068288
"/data/egentili/lung2.mtx",0.050169,19636206.000000,0.000003,0.049152,0.065984
"/data/egentili/mac_econ_fwd500.mtx",0.515806,4937469.500000,0.000013,0.507680,0.528864
"/data/egentili/mcfe.mtx",0.041889,1164116.625000,0.000002,0.040960,0.053376
"/data/egentili/mhd4800a.mtx",0.036823,5553744.500000,0.000001,0.035680,0.044896
"/data/egentili/mhda416.mtx",0.013597,1259414.000000,0.000000,0.012544,0.017056
"/data/egentili/ML_Laplace.mtx",7.564350,7292813.500000,0.001451,7.439264,7.655104
"/data/egentili/nlpkkt80.mtx",4.590549,12282920.000000,0.000290,4.559840,4.637376
"/data/egentili/olafu.mtx",0.173825,11680189.000000,0.000003,0.171968,0.188000
"/data/egentili/olm1000.mtx",0.008243,969563.937500,0.000000,0.006976,0.014272
"/data/egentili/PR02R.mtx",2.684861,6097250.500000,0.000740,2.628064,2.759680
"/data/egentili/raefsky2.mtx",0.110042,5335242.500000,0.000003,0.108544,0.126976
"/data/egentili/rdist2.mtx",0.063171,1799382.125000,0.000002,0.061696,0.075040
"/data/egentili/roadNet-PA.mtx",0.323927,19040066.000000,0.000001,0.322016,0.329888
"/data/egentili/thermal1.mtx",0.046175,24881748.000000,0.000001,0.045056,0.050976
"/data/egentili/thermal2.mtx",0.662648,25897034.000000,0.000126,0.657728,0.773504
"/data/egentili/thermomech_TK.mtx",0.065424,21752200.000000,0.000000,0.063584,0.069792
"/data/egentili/webbase-1M.mtx",0.967213,6421616.500000,0.000013,0.959008,0.978912
"/data/egentili/west2021.mtx",0.011430,1279116.875000,0.000001,0.010240,0.021120
