matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.158772,141662.390625,0.000463,0.155648,0.372736
"/data/egentili/af_1_k101.mtx",2.586597,13570477.000000,0.000087,2.572192,2.604736
"/data/egentili/af23560.mtx",0.054988,16752624.000000,0.000006,0.053248,0.077888
"/data/egentili/amazon0302.mtx",0.131514,18779458.000000,0.000001,0.129984,0.136928
"/data/egentili/bcsstk17.mtx",0.095320,8993945.000000,0.000003,0.092768,0.109600
"/data/egentili/cage4.mtx",0.004778,20511.015625,0.000003,0.003776,0.021632
"/data/egentili/cant.mtx",0.577875,13869378.000000,0.000185,0.540672,0.620320
"/data/egentili/cavity10.mtx",0.066576,2288230.500000,0.000006,0.065312,0.089472
"/data/egentili/cop20k_A.mtx",0.457628,11469273.000000,0.000002,0.454656,0.462560
"/data/egentili/Cube_Coup_dt0.mtx",13.129938,18949986.000000,0.000948,13.105728,13.330272
"/data/egentili/dc1.mtx",19.423300,78915.117188,0.000032,19.409760,19.435520
"/data/egentili/FEM_3D_thermal1.mtx",0.053025,16246688.000000,0.000001,0.051264,0.062432
"/data/egentili/lung2.mtx",0.068498,14381800.000000,0.000001,0.066432,0.071200
"/data/egentili/mac_econ_fwd500.mtx",0.436352,5836517.000000,0.000002,0.432704,0.444768
"/data/egentili/mcfe.mtx",0.038945,1252115.500000,0.000002,0.037664,0.051424
"/data/egentili/mhd4800a.mtx",0.030327,6743218.000000,0.000001,0.028992,0.036864
"/data/egentili/mhda416.mtx",0.012923,1325124.625000,0.000000,0.012288,0.016736
"/data/egentili/ML_Laplace.mtx",4.860658,11349369.000000,0.000546,4.794592,4.915072
"/data/egentili/nlpkkt80.mtx",3.579755,15751173.000000,0.000324,3.555200,3.675328
"/data/egentili/olafu.mtx",0.169642,11968243.000000,0.000003,0.165888,0.180576
"/data/egentili/olm1000.mtx",0.007435,1074979.750000,0.000000,0.006144,0.012160
"/data/egentili/PR02R.mtx",1.598654,10240037.000000,0.000218,1.564960,1.646336
"/data/egentili/raefsky2.mtx",0.107000,5486919.000000,0.000003,0.105760,0.123200
"/data/egentili/rdist2.mtx",0.057905,1963010.125000,0.000002,0.056128,0.068800
"/data/egentili/roadNet-PA.mtx",0.408086,15113447.000000,0.000001,0.406464,0.413376
"/data/egentili/thermal1.mtx",0.060424,19014136.000000,0.000000,0.058592,0.063488
"/data/egentili/thermal2.mtx",1.048157,16372189.000000,0.000133,1.039808,1.158144
"/data/egentili/thermomech_TK.mtx",0.077120,18453190.000000,0.000000,0.075776,0.078880
"/data/egentili/webbase-1M.mtx",1.310142,4740763.000000,0.001774,1.245184,1.347072
"/data/egentili/west2021.mtx",0.009840,1485772.375000,0.000001,0.008640,0.018752
