matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.011485,1958305.625000,0.000187,0.008704,0.147456
"/data/egentili/af_1_k101.mtx",1.256694,27931510.000000,0.000077,1.252320,1.343136
"/data/egentili/af23560.mtx",0.051667,17829418.000000,0.000002,0.050272,0.062432
"/data/egentili/amazon0302.mtx",0.507005,4871260.500000,0.000001,0.505664,0.509632
"/data/egentili/bcsstk17.mtx",0.032492,26385086.000000,0.000002,0.031264,0.045984
"/data/egentili/cage4.mtx",0.004381,22367.074219,0.000000,0.003840,0.009152
"/data/egentili/cant.mtx",0.198155,40446924.000000,0.000088,0.196320,0.291520
"/data/egentili/cavity10.mtx",0.009137,16673742.000000,0.000001,0.008192,0.018432
"/data/egentili/cop20k_A.mtx",0.243524,21552996.000000,0.000001,0.241888,0.245728
"/data/egentili/Cube_Coup_dt0.mtx",5.703734,43622676.000000,0.024955,5.584896,6.248224
"/data/egentili/dc1.mtx",0.262560,5837871.500000,0.000006,0.256000,0.270336
"/data/egentili/FEM_3D_thermal1.mtx",0.037000,23283036.000000,0.000000,0.035712,0.042080
"/data/egentili/lung2.mtx",0.189401,5201275.500000,0.000001,0.184000,0.190848
"/data/egentili/mac_econ_fwd500.mtx",0.402632,6325325.500000,0.000001,0.400992,0.404544
"/data/egentili/mcfe.mtx",0.005856,8326730.500000,0.000001,0.004448,0.014336
"/data/egentili/mhd4800a.mtx",0.013118,15589857.000000,0.000001,0.012288,0.020480
"/data/egentili/mhda416.mtx",0.005051,3390514.500000,0.000000,0.004096,0.009472
"/data/egentili/ML_Laplace.mtx",1.277531,43181264.000000,0.000088,1.272288,1.363328
"/data/egentili/nlpkkt80.mtx",2.117094,26633374.000000,0.000087,2.064384,2.187680
"/data/egentili/olafu.mtx",0.050171,40468200.000000,0.000002,0.049152,0.060384
"/data/egentili/olm1000.mtx",0.005806,1376488.125000,0.000001,0.004448,0.011808
"/data/egentili/PR02R.mtx",0.454756,35997888.000000,0.000066,0.452608,0.535200
"/data/egentili/raefsky2.mtx",0.013297,44152036.000000,0.000002,0.012288,0.027488
"/data/egentili/rdist2.mtx",0.010181,11164585.000000,0.000001,0.008928,0.019808
"/data/egentili/roadNet-PA.mtx",2.098208,2939457.000000,0.000001,2.095104,2.101408
"/data/egentili/thermal1.mtx",0.146486,7843176.500000,0.000000,0.142944,0.147456
"/data/egentili/thermal2.mtx",2.235888,7675082.000000,0.017983,2.106912,2.484864
"/data/egentili/thermomech_TK.mtx",0.182333,7805030.500000,0.000001,0.176576,0.184128
"/data/egentili/webbase-1M.mtx",1.935869,3208415.500000,0.000001,1.933600,1.939456
"/data/egentili/west2021.mtx",0.008575,1704947.750000,0.000001,0.008000,0.018176
