matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.072852,308733.437500,0.000216,0.070176,0.218944
"/data/egentili/af_1_k101.mtx",4.018100,8735809.000000,0.000209,3.988448,4.096256
"/data/egentili/af23560.mtx",0.039228,23483026.000000,0.000001,0.037632,0.047040
"/data/egentili/amazon0302.mtx",0.105550,23398956.000000,0.000000,0.104448,0.106848
"/data/egentili/bcsstk17.mtx",0.076645,11185318.000000,0.000003,0.074560,0.090912
"/data/egentili/cage4.mtx",0.004557,21503.300781,0.000001,0.003808,0.011808
"/data/egentili/cant.mtx",0.970071,8262041.500000,0.000198,0.932960,1.000352
"/data/egentili/cavity10.mtx",0.042110,3617735.750000,0.000003,0.034816,0.050720
"/data/egentili/cop20k_A.mtx",0.471831,11124040.000000,0.000007,0.465184,0.479136
"/data/egentili/Cube_Coup_dt0.mtx",30.088022,8269475.000000,0.014322,29.669888,30.289984
"/data/egentili/dc1.mtx",6.267558,244559.671875,0.000010,6.259584,6.274848
"/data/egentili/FEM_3D_thermal1.mtx",0.046217,18639782.000000,0.000001,0.045056,0.056032
"/data/egentili/lung2.mtx",0.041283,23862688.000000,0.000000,0.040736,0.042592
"/data/egentili/mac_econ_fwd500.mtx",0.110799,22985566.000000,0.000053,0.108544,0.182464
"/data/egentili/mcfe.mtx",0.027359,1782372.250000,0.000001,0.026528,0.036416
"/data/egentili/mhd4800a.mtx",0.026992,7576559.500000,0.000001,0.026368,0.034400
"/data/egentili/mhda416.mtx",0.012315,1390477.000000,0.000000,0.011008,0.016672
"/data/egentili/ML_Laplace.mtx",8.560908,6443872.000000,0.003344,8.417632,8.695840
"/data/egentili/nlpkkt80.mtx",4.323184,13042550.000000,0.000116,4.304896,4.398496
"/data/egentili/olafu.mtx",0.140549,14445602.000000,0.000003,0.138016,0.154976
"/data/egentili/olm1000.mtx",0.006257,1277232.625000,0.000001,0.004960,0.012288
"/data/egentili/PR02R.mtx",1.783571,9178368.000000,0.000526,1.730464,1.879808
"/data/egentili/raefsky2.mtx",0.101987,5756625.000000,0.000003,0.100352,0.116736
"/data/egentili/rdist2.mtx",0.026622,4269638.000000,0.000001,0.025312,0.036064
"/data/egentili/roadNet-PA.mtx",0.304737,20239044.000000,0.000003,0.301056,0.307648
"/data/egentili/thermal1.mtx",0.045867,25049100.000000,0.000000,0.044096,0.046976
"/data/egentili/thermal2.mtx",0.779581,22012632.000000,0.000009,0.770944,0.786784
"/data/egentili/thermomech_TK.mtx",0.069139,20583532.000000,0.000038,0.067584,0.130528
"/data/egentili/webbase-1M.mtx",0.410101,15145223.000000,0.000003,0.405632,0.415648
"/data/egentili/west2021.mtx",0.010184,1435630.250000,0.000002,0.008704,0.019360
