matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.014374,1564761.250000,0.000196,0.012288,0.153600
"/data/egentili/af_1_k101.mtx",1.376072,25508372.000000,0.000083,1.373984,1.466304
"/data/egentili/af23560.mtx",0.058748,15680426.000000,0.000001,0.056992,0.064256
"/data/egentili/amazon0302.mtx",0.539217,4580264.000000,0.000001,0.538464,0.544096
"/data/egentili/bcsstk17.mtx",0.033271,25766908.000000,0.000002,0.031520,0.045408
"/data/egentili/cage4.mtx",0.004672,20976.025391,0.000001,0.004032,0.010272
"/data/egentili/cant.mtx",0.202123,39652880.000000,0.000096,0.199616,0.299264
"/data/egentili/cavity10.mtx",0.011265,13523145.000000,0.000001,0.010240,0.019872
"/data/egentili/cop20k_A.mtx",0.305632,17173168.000000,0.000001,0.303392,0.311136
"/data/egentili/Cube_Coup_dt0.mtx",5.952219,41801576.000000,0.148913,5.653120,6.645664
"/data/egentili/dc1.mtx",0.508797,3012583.250000,0.000002,0.501248,0.511904
"/data/egentili/FEM_3D_thermal1.mtx",0.048620,17718812.000000,0.000101,0.045056,0.147840
"/data/egentili/lung2.mtx",0.232889,4230027.000000,0.000001,0.227712,0.233632
"/data/egentili/mac_econ_fwd500.mtx",0.460603,5529221.500000,0.001500,0.428960,0.511712
"/data/egentili/mcfe.mtx",0.007458,6538553.000000,0.000001,0.006176,0.017088
"/data/egentili/mhd4800a.mtx",0.017556,11648776.000000,0.000001,0.016384,0.023584
"/data/egentili/mhda416.mtx",0.006956,2461702.250000,0.000001,0.006144,0.012192
"/data/egentili/ML_Laplace.mtx",1.217458,45311964.000000,0.000097,1.209728,1.307936
"/data/egentili/nlpkkt80.mtx",2.637794,21375942.000000,0.008550,2.279104,2.734176
"/data/egentili/olafu.mtx",0.052348,38784552.000000,0.000003,0.051200,0.067360
"/data/egentili/olm1000.mtx",0.006270,1274690.000000,0.000001,0.005056,0.012288
"/data/egentili/PR02R.mtx",0.464618,35233816.000000,0.000074,0.462464,0.550112
"/data/egentili/raefsky2.mtx",0.016925,34688204.000000,0.000002,0.015328,0.030720
"/data/egentili/rdist2.mtx",0.013795,8239868.500000,0.000001,0.012544,0.024800
"/data/egentili/roadNet-PA.mtx",2.584056,2386787.250000,0.018028,2.254432,2.649152
"/data/egentili/thermal1.mtx",0.175426,6549306.000000,0.000000,0.174080,0.176128
"/data/egentili/thermal2.mtx",2.820811,6083578.000000,0.043664,2.540000,3.077344
"/data/egentili/thermomech_TK.mtx",0.214106,6646786.500000,0.000000,0.212992,0.216064
"/data/egentili/webbase-1M.mtx",2.365369,2625836.750000,0.026304,2.112832,2.478176
"/data/egentili/west2021.mtx",0.008892,1644262.875000,0.000001,0.008192,0.016032
