File,FLOPS,mean_time [s],std_dev,min,max,num_threads,num_runs
/data/egentili/adder_dcop_32.mtx,395856381.886636,0.000057,0.000000,0.000053,0.001315,28,1000
/data/egentili/af_1_k101.mtx,6132963680.220098,0.005723,0.000001,0.003128,0.011246,28,1000
/data/egentili/af23560.mtx,16417614496.664825,0.000056,0.000000,0.000053,0.000298,28,1000
/data/egentili/amazon0302.mtx,10498775726.099741,0.000235,0.000000,0.000231,0.001140,28,1000
/data/egentili/bcsstk17.mtx,13546394434.139742,0.000063,0.000000,0.000061,0.000366,28,1000
/data/egentili/cage4.mtx,10000314.925432,0.000010,0.000000,0.000007,0.000015,28,1000
/data/egentili/cant.mtx,12723744402.184412,0.000630,0.000000,0.000608,0.002443,28,1000
/data/egentili/cavity10.mtx,6126850803.142960,0.000025,0.000000,0.000022,0.000157,28,1000
/data/egentili/cop20k_A.mtx,7167217081.687514,0.000732,0.000000,0.000713,0.002044,28,1000
/data/egentili/Cube_Coup_dt0.mtx,7383606307.036419,0.033698,0.000067,0.027035,0.074942,28,1000
/data/egentili/dc1.mtx,263159589.396842,0.005825,0.000000,0.005747,0.006319,28,1000
/data/egentili/FEM_3D_thermal1.mtx,16278960934.041237,0.000053,0.000000,0.000049,0.000338,28,1000
/data/egentili/lung2.mtx,9312775561.387383,0.000106,0.000000,0.000103,0.000530,28,1000
/data/egentili/mac_econ_fwd500.mtx,3322620452.790227,0.000766,0.000000,0.000743,0.002605,28,1000
/data/egentili/mcfe.mtx,3448245188.498457,0.000014,0.000000,0.000012,0.000140,28,1000
/data/egentili/mhd4800a.mtx,8870872446.868053,0.000023,0.000000,0.000021,0.000168,28,1000
/data/egentili/mhda416.mtx,1618767760.708302,0.000011,0.000000,0.000008,0.000047,28,1000
/data/egentili/ML_Laplace.mtx,5734415241.024185,0.009620,0.000000,0.009583,0.015766,28,1000
/data/egentili/nlpkkt80.mtx,5182643770.374826,0.010880,0.000000,0.010839,0.017725,28,1000
/data/egentili/olafu.mtx,17450722810.650154,0.000116,0.000000,0.000113,0.000537,28,1000
/data/egentili/olm1000.mtx,805809810.080575,0.000010,0.000000,0.000008,0.000017,28,1000
/data/egentili/PR02R.mtx,5160964858.705036,0.003172,0.000000,0.003151,0.006005,28,1000
/data/egentili/raefsky2.mtx,15131668194.002333,0.000039,0.000000,0.000036,0.000241,28,1000
/data/egentili/rdist2.mtx,4441118008.571042,0.000026,0.000000,0.000023,0.000169,28,1000
/data/egentili/roadNet-PA.mtx,3710387396.824334,0.001662,0.000000,0.001636,0.003642,28,1000
/data/egentili/thermal1.mtx,12735027718.506826,0.000090,0.000000,0.000087,0.000647,28,1000
/data/egentili/thermal2.mtx,3557370382.572185,0.004824,0.000000,0.004774,0.008654,28,1000
/data/egentili/thermomech_TK.mtx,12933750563.273149,0.000110,0.000000,0.000107,0.000752,28,1000
/data/egentili/webbase-1M.mtx,1029571554.195078,0.006033,0.000000,0.005978,0.008248,28,1000
/data/egentili/west2021.mtx,1262843428.126266,0.000012,0.000000,0.000009,0.000027,28,1000
