matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.014386,1563438.500000,0.000197,0.012288,0.153856
"/data/egentili/af_1_k101.mtx",1.290772,27194080.000000,0.000078,1.288192,1.378656
"/data/egentili/af23560.mtx",0.051882,17755738.000000,0.000001,0.051072,0.056544
"/data/egentili/amazon0302.mtx",0.499290,4946535.500000,0.000001,0.498080,0.506400
"/data/egentili/bcsstk17.mtx",0.029313,29246452.000000,0.000002,0.028576,0.041504
"/data/egentili/cage4.mtx",0.004661,21024.992188,0.000003,0.003808,0.020480
"/data/egentili/cant.mtx",0.188619,42491724.000000,0.000000,0.186976,0.191296
"/data/egentili/cavity10.mtx",0.010929,13939293.000000,0.000001,0.010080,0.019840
"/data/egentili/cop20k_A.mtx",0.283128,18538148.000000,0.000001,0.280896,0.286912
"/data/egentili/Cube_Coup_dt0.mtx",5.437641,45757368.000000,0.058209,5.328000,6.196160
"/data/egentili/dc1.mtx",0.560182,2736240.750000,0.000001,0.558688,0.562176
"/data/egentili/FEM_3D_thermal1.mtx",0.040777,21126466.000000,0.000001,0.039648,0.046720
"/data/egentili/lung2.mtx",0.215846,4564042.000000,0.000000,0.215040,0.216832
"/data/egentili/mac_econ_fwd500.mtx",0.472650,5388294.000000,0.000088,0.468992,0.563712
"/data/egentili/mcfe.mtx",0.007041,6926075.500000,0.000001,0.006144,0.017696
"/data/egentili/mhd4800a.mtx",0.016313,12536045.000000,0.000001,0.014976,0.023808
"/data/egentili/mhda416.mtx",0.006634,2581155.500000,0.000000,0.006016,0.011424
"/data/egentili/ML_Laplace.mtx",1.161258,47504840.000000,0.000092,1.153024,1.242400
"/data/egentili/nlpkkt80.mtx",2.330301,24196590.000000,0.007143,2.269312,2.541184
"/data/egentili/olafu.mtx",0.048586,41787804.000000,0.000004,0.047104,0.064992
"/data/egentili/olm1000.mtx",0.005989,1334491.500000,0.000001,0.004704,0.012288
"/data/egentili/PR02R.mtx",0.435555,37584888.000000,0.000069,0.433984,0.517920
"/data/egentili/raefsky2.mtx",0.015968,36768152.000000,0.000002,0.014752,0.029024
"/data/egentili/rdist2.mtx",0.013025,8727153.000000,0.000001,0.012288,0.024192
"/data/egentili/roadNet-PA.mtx",2.446732,2520747.250000,0.000001,2.445440,2.453536
"/data/egentili/thermal1.mtx",0.163140,7042495.000000,0.000000,0.161888,0.167648
"/data/egentili/thermal2.mtx",2.599927,6600425.000000,0.039442,2.361056,2.861408
"/data/egentili/thermomech_TK.mtx",0.199773,7123661.500000,0.000000,0.198656,0.203808
"/data/egentili/webbase-1M.mtx",2.196699,2827457.500000,0.020406,1.954784,2.289440
"/data/egentili/west2021.mtx",0.008609,1698294.000000,0.000001,0.008032,0.018368
