matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.110477,203590.218750,0.000185,0.108320,0.245760
"/data/egentili/af_1_k101.mtx",2.582138,13593911.000000,0.000190,2.568544,2.682112
"/data/egentili/af23560.mtx",0.047209,19513036.000000,0.000001,0.045792,0.052960
"/data/egentili/amazon0302.mtx",0.129376,19089700.000000,0.000001,0.127744,0.134528
"/data/egentili/bcsstk17.mtx",0.072782,11779049.000000,0.000003,0.070496,0.087232
"/data/egentili/cage4.mtx",0.004465,21950.259766,0.000001,0.003072,0.010240
"/data/egentili/cant.mtx",0.702723,11405292.000000,0.000312,0.668384,0.814304
"/data/egentili/cavity10.mtx",0.041126,3704267.250000,0.000001,0.039648,0.049408
"/data/egentili/cop20k_A.mtx",0.386492,13580263.000000,0.000002,0.384256,0.391808
"/data/egentili/Cube_Coup_dt0.mtx",19.312092,12883749.000000,0.006321,19.081152,19.554239
"/data/egentili/dc1.mtx",12.688211,120804.421875,0.000004,12.681440,12.692576
"/data/egentili/FEM_3D_thermal1.mtx",0.040425,21310596.000000,0.000001,0.038944,0.050304
"/data/egentili/lung2.mtx",0.048628,20258256.000000,0.000000,0.046560,0.049824
"/data/egentili/mac_econ_fwd500.mtx",0.129273,19700784.000000,0.000000,0.127456,0.130720
"/data/egentili/mcfe.mtx",0.025036,1947768.875000,0.000001,0.024320,0.033760
"/data/egentili/mhd4800a.mtx",0.023085,8858691.000000,0.000001,0.022368,0.029888
"/data/egentili/mhda416.mtx",0.010788,1587342.750000,0.000000,0.010048,0.015264
"/data/egentili/ML_Laplace.mtx",4.724784,11675749.000000,0.002643,4.602720,5.020096
"/data/egentili/nlpkkt80.mtx",3.949765,14275621.000000,0.000322,3.926688,4.039296
"/data/egentili/olafu.mtx",0.136287,14897289.000000,0.000003,0.133600,0.150080
"/data/egentili/olm1000.mtx",0.006078,1314958.625000,0.000001,0.004928,0.012192
"/data/egentili/PR02R.mtx",1.284559,12743880.000000,0.000476,1.235008,1.379424
"/data/egentili/raefsky2.mtx",0.115826,5068844.000000,0.000002,0.114688,0.128960
"/data/egentili/rdist2.mtx",0.031249,3637534.500000,0.000001,0.030400,0.041216
"/data/egentili/roadNet-PA.mtx",0.442713,13931359.000000,0.000002,0.440096,0.449184
"/data/egentili/thermal1.mtx",0.056609,20295538.000000,0.000000,0.055328,0.058176
"/data/egentili/thermal2.mtx",0.884112,19410010.000000,0.000144,0.868352,0.990240
"/data/egentili/thermomech_TK.mtx",0.075011,18972130.000000,0.000000,0.073728,0.076096
"/data/egentili/webbase-1M.mtx",0.747904,8304636.000000,0.000003,0.742272,0.751616
"/data/egentili/west2021.mtx",0.010018,1459431.250000,0.000001,0.008704,0.018368
