matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.022877,983179.187500,0.000202,0.020480,0.163840
"/data/egentili/af_1_k101.mtx",3.834983,9152936.000000,0.107910,3.476416,4.231744
"/data/egentili/af23560.mtx",0.164235,5609026.000000,0.000005,0.163200,0.186656
"/data/egentili/amazon0302.mtx",1.755497,1406869.250000,0.000000,1.754048,1.757184
"/data/egentili/bcsstk17.mtx",0.083658,10247685.000000,0.000012,0.081920,0.116960
"/data/egentili/cage4.mtx",0.004739,20681.386719,0.000001,0.004096,0.010432
"/data/egentili/cant.mtx",0.533185,15031860.000000,0.000006,0.529568,0.538240
"/data/egentili/cavity10.mtx",0.027552,5529191.000000,0.000001,0.026624,0.035712
"/data/egentili/cop20k_A.mtx",0.979344,5359365.500000,0.000002,0.977632,0.991136
"/data/egentili/Cube_Coup_dt0.mtx",15.071363,16508934.000000,0.579370,14.840736,17.880768
"/data/egentili/dc1.mtx",0.788531,1943858.625000,0.000000,0.786560,0.792576
"/data/egentili/FEM_3D_thermal1.mtx",0.126793,6794367.000000,0.000001,0.125184,0.134624
"/data/egentili/lung2.mtx",0.737453,1335852.000000,0.000001,0.735904,0.742560
"/data/egentili/mac_econ_fwd500.mtx",1.626874,1565442.250000,0.007277,1.392640,1.667552
"/data/egentili/mcfe.mtx",0.009503,5131409.500000,0.000001,0.008192,0.018720
"/data/egentili/mhd4800a.mtx",0.037376,5471578.500000,0.000001,0.036704,0.043392
"/data/egentili/mhda416.mtx",0.006843,2502572.750000,0.000000,0.006144,0.010560
"/data/egentili/ML_Laplace.mtx",3.006081,18351268.000000,0.048802,2.747392,3.316608
"/data/egentili/nlpkkt80.mtx",7.383012,7637173.000000,0.180349,7.100416,8.573024
"/data/egentili/olafu.mtx",0.124564,16299408.000000,0.000001,0.122880,0.131808
"/data/egentili/olm1000.mtx",0.011830,675566.250000,0.000001,0.010368,0.017024
"/data/egentili/PR02R.mtx",1.345822,12163771.000000,0.000001,1.344160,1.352832
"/data/egentili/raefsky2.mtx",0.029040,20216788.000000,0.000002,0.027616,0.042336
"/data/egentili/rdist2.mtx",0.026220,4335137.500000,0.000001,0.024864,0.035712
"/data/egentili/roadNet-PA.mtx",7.292094,845791.562500,0.000013,7.289088,7.306144
"/data/egentili/thermal1.mtx",0.558317,2057818.375000,0.000001,0.557056,0.563904
"/data/egentili/thermal2.mtx",8.401435,2042582.750000,0.208326,8.205408,9.835648
"/data/egentili/thermomech_TK.mtx",0.689203,2064871.125000,0.000003,0.688096,0.705120
"/data/egentili/webbase-1M.mtx",7.012394,885727.687500,0.305922,6.686720,8.012224
"/data/egentili/west2021.mtx",0.019141,763800.687500,0.000001,0.018368,0.028672
