matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.012459,1805252.250000,0.000221,0.010240,0.159872
"/data/egentili/af_1_k101.mtx",1.426599,24604926.000000,0.001059,1.249088,1.520544
"/data/egentili/af23560.mtx",0.050793,18136296.000000,0.000001,0.049216,0.056704
"/data/egentili/amazon0302.mtx",0.515219,4793597.500000,0.000001,0.513024,0.520032
"/data/egentili/bcsstk17.mtx",0.030979,27673976.000000,0.000002,0.029440,0.043552
"/data/egentili/cage4.mtx",0.004410,22222.626953,0.000001,0.003360,0.010336
"/data/egentili/cant.mtx",0.208449,38449588.000000,0.000091,0.206752,0.303328
"/data/egentili/cavity10.mtx",0.009799,15546121.000000,0.000001,0.008480,0.018208
"/data/egentili/cop20k_A.mtx",0.266820,19671184.000000,0.000001,0.264832,0.271840
"/data/egentili/Cube_Coup_dt0.mtx",6.079159,40928712.000000,0.081479,5.865504,6.627456
"/data/egentili/dc1.mtx",0.267938,5720705.500000,0.000007,0.260896,0.274336
"/data/egentili/FEM_3D_thermal1.mtx",0.040491,21275902.000000,0.000001,0.038912,0.049408
"/data/egentili/lung2.mtx",0.216186,4556862.500000,0.000001,0.206592,0.218368
"/data/egentili/mac_econ_fwd500.mtx",0.478305,5324590.000000,0.000002,0.475136,0.482112
"/data/egentili/mcfe.mtx",0.006048,8062835.000000,0.000001,0.004672,0.014720
"/data/egentili/mhd4800a.mtx",0.015277,13386574.000000,0.000001,0.014336,0.022560
"/data/egentili/mhda416.mtx",0.005282,3242003.250000,0.000001,0.004096,0.010240
"/data/egentili/ML_Laplace.mtx",1.344644,41026036.000000,0.000092,1.338208,1.436448
"/data/egentili/nlpkkt80.mtx",2.283848,24688746.000000,0.007397,2.051104,2.392320
"/data/egentili/olafu.mtx",0.052485,38683332.000000,0.000002,0.051200,0.063872
"/data/egentili/olm1000.mtx",0.006307,1267188.125000,0.000001,0.004960,0.015008
"/data/egentili/PR02R.mtx",0.481932,33968016.000000,0.000073,0.479936,0.566784
"/data/egentili/raefsky2.mtx",0.013940,42116844.000000,0.000002,0.012544,0.028256
"/data/egentili/rdist2.mtx",0.011766,9660915.000000,0.000002,0.010464,0.023712
"/data/egentili/roadNet-PA.mtx",2.484384,2482544.250000,0.003753,2.168832,2.506496
"/data/egentili/thermal1.mtx",0.170734,6729272.500000,0.000001,0.160704,0.172032
"/data/egentili/thermal2.mtx",2.810313,6106305.000000,0.005818,2.458048,2.931552
"/data/egentili/thermomech_TK.mtx",0.219984,6469190.000000,0.000004,0.206240,0.225024
"/data/egentili/webbase-1M.mtx",2.202164,2820440.250000,0.000021,2.193408,2.210080
"/data/egentili/west2021.mtx",0.008299,1761615.375000,0.000001,0.006912,0.018016
