matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.012234,1838446.875000,0.000186,0.010112,0.147456
"/data/egentili/af_1_k101.mtx",1.415777,24792988.000000,0.002412,1.250752,1.523232
"/data/egentili/af23560.mtx",0.050789,18137550.000000,0.000001,0.049152,0.056928
"/data/egentili/amazon0302.mtx",0.515469,4791273.500000,0.000001,0.512448,0.520352
"/data/egentili/bcsstk17.mtx",0.030922,27724672.000000,0.000002,0.029600,0.045344
"/data/egentili/cage4.mtx",0.004519,21684.486328,0.000001,0.003072,0.011136
"/data/egentili/cant.mtx",0.207541,38617664.000000,0.000000,0.206784,0.209728
"/data/egentili/cavity10.mtx",0.009859,15452763.000000,0.000001,0.008480,0.019424
"/data/egentili/cop20k_A.mtx",0.266642,19684338.000000,0.000001,0.264576,0.270880
"/data/egentili/Cube_Coup_dt0.mtx",5.982657,41588904.000000,0.055911,5.859872,6.624256
"/data/egentili/dc1.mtx",0.268478,5709196.000000,0.000009,0.262144,0.275520
"/data/egentili/FEM_3D_thermal1.mtx",0.040634,21201002.000000,0.000001,0.038912,0.048960
"/data/egentili/lung2.mtx",0.216663,4546827.000000,0.000001,0.209120,0.218592
"/data/egentili/mac_econ_fwd500.mtx",0.454077,5608686.500000,0.001062,0.408768,0.485248
"/data/egentili/mcfe.mtx",0.006075,8027576.000000,0.000001,0.004832,0.014752
"/data/egentili/mhd4800a.mtx",0.015382,13294676.000000,0.000001,0.014336,0.022624
"/data/egentili/mhda416.mtx",0.005266,3251656.000000,0.000001,0.004096,0.013056
"/data/egentili/ML_Laplace.mtx",1.337988,41230100.000000,0.000921,1.219168,1.435328
"/data/egentili/nlpkkt80.mtx",2.298157,24535024.000000,0.004383,2.049920,2.400960
"/data/egentili/olafu.mtx",0.052679,38541412.000000,0.000002,0.051200,0.065888
"/data/egentili/olm1000.mtx",0.006231,1282677.000000,0.000001,0.005088,0.012288
"/data/egentili/PR02R.mtx",0.481977,33964824.000000,0.000074,0.479904,0.567200
"/data/egentili/raefsky2.mtx",0.014072,41720340.000000,0.000003,0.012800,0.030720
"/data/egentili/rdist2.mtx",0.011881,9566981.000000,0.000003,0.010656,0.026016
"/data/egentili/roadNet-PA.mtx",2.483789,2483138.000000,0.004121,2.167392,2.506176
"/data/egentili/thermal1.mtx",0.170770,6727846.500000,0.000002,0.160000,0.174080
"/data/egentili/thermal2.mtx",2.749351,6241701.000000,0.021846,2.460416,2.929728
"/data/egentili/thermomech_TK.mtx",0.219482,6483979.500000,0.000001,0.212000,0.221728
"/data/egentili/webbase-1M.mtx",2.191335,2834377.500000,0.003464,1.933312,2.210656
"/data/egentili/west2021.mtx",0.008148,1794340.750000,0.000001,0.006752,0.016064
