matrix,time,flops,std_dev,min,max
"/data/egentili/adder_dcop_32.mtx",0.010775,2087424.625000,0.000044,0.009152,0.219264
"/data/egentili/af_1_k101.mtx",1.107811,31685322.000000,0.005399,1.066432,1.344256
"/data/egentili/af23560.mtx",0.053226,17307118.000000,0.000001,0.051136,0.066112
"/data/egentili/amazon0302.mtx",0.482230,5121523.000000,0.000000,0.481280,0.483680
"/data/egentili/bcsstk17.mtx",0.030543,28068180.000000,0.000000,0.028864,0.044128
"/data/egentili/cage4.mtx",0.004570,21443.230469,0.000002,0.003200,0.027616
"/data/egentili/cant.mtx",0.183803,43605164.000000,0.000012,0.180864,0.284192
"/data/egentili/cavity10.mtx",0.008887,17142156.000000,0.000000,0.008192,0.019200
"/data/egentili/cop20k_A.mtx",0.236339,22208238.000000,0.000001,0.233472,0.240640
"/data/egentili/Cube_Coup_dt0.mtx",5.268674,47224812.000000,0.011503,5.215584,6.039808
"/data/egentili/dc1.mtx",0.231340,6625699.000000,0.000001,0.229376,0.234112
"/data/egentili/FEM_3D_thermal1.mtx",0.043784,19675636.000000,0.000001,0.040864,0.053216
"/data/egentili/lung2.mtx",0.210606,4677582.500000,0.000000,0.209344,0.212896
"/data/egentili/mac_econ_fwd500.mtx",0.389423,6539884.000000,0.000005,0.388000,0.460864
"/data/egentili/mcfe.mtx",0.006155,7922083.000000,0.000000,0.004576,0.016384
"/data/egentili/mhd4800a.mtx",0.013659,14971595.000000,0.000000,0.012416,0.020480
"/data/egentili/mhda416.mtx",0.005938,2883914.250000,0.000000,0.004480,0.010752
"/data/egentili/ML_Laplace.mtx",1.056647,52207952.000000,0.001723,1.012064,1.209856
"/data/egentili/nlpkkt80.mtx",2.079359,27116692.000000,0.005328,2.058752,2.474240
"/data/egentili/olafu.mtx",0.048538,41829344.000000,0.000001,0.047104,0.065632
"/data/egentili/olm1000.mtx",0.005864,1362864.000000,0.000000,0.004384,0.014080
"/data/egentili/PR02R.mtx",0.388171,42172872.000000,0.000743,0.364416,0.506784
"/data/egentili/raefsky2.mtx",0.013449,43655056.000000,0.000001,0.012288,0.030272
"/data/egentili/rdist2.mtx",0.010989,10344074.000000,0.000000,0.010208,0.021056
"/data/egentili/roadNet-PA.mtx",2.029296,3039276.500000,0.000001,2.027520,2.035232
"/data/egentili/thermal1.mtx",0.158843,7233042.500000,0.000000,0.157696,0.162240
"/data/egentili/thermal2.mtx",2.324866,7381341.000000,0.012693,2.285696,2.686912
"/data/egentili/thermomech_TK.mtx",0.194029,7334546.000000,0.000000,0.192544,0.196608
"/data/egentili/webbase-1M.mtx",1.922879,3230089.750000,0.006081,1.900544,2.238176
"/data/egentili/west2021.mtx",0.008361,1748492.125000,0.000000,0.007040,0.016448
